"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Mu_L2[18]";2,54376099318944;0,0259994685946264;0,000150108001918948;0,000150721224607325;2,49357389149484;2,52629808956862;2,54362511268561;2,56097271514572;2,59535829172362
"Mu_L2[19]";2,63909322617101;0,0253273288449438;0,000146227401264825;0,000145276507316815;2,58970739844322;2,62206517164266;2,63903406371443;2,65616094800711;2,68907595696251
"Mu_L2[20]";2,63075239795019;0,0238427393899482;0,000137656120050047;0,000135031368362689;2,58388392201013;2,61474778990977;2,6307009669343;2,64662022333638;2,67773618698747
"Mu_L2[21]";2,71573441664022;0,0238681294269087;0,000137802709496785;0,000138643198337884;2,66900609534894;2,6996287238953;2,71548581394933;2,73176307248758;2,76227004473893
"Mu_L2[22]";2,731198379957;0,0243331131528121;0,000140487294289977;0,000141844956203664;2,68365395767496;2,71472576048008;2,73111031608831;2,74753275872637;2,77992963997496
"Mu_L2[23]";2,66572965078072;0,0295561880375786;0,000170642731197152;0,00016993938226862;2,60841984549668;2,64589847286017;2,66562867564375;2,68557042221765;2,72393710122366
"Mu_L2[24]";2,73100735138266;0,0298455300651505;0,000172313248172217;0,000172319064676244;2,67225916672108;2,71101860242551;2,73081871384869;2,75100431048417;2,79004148092727
"Mu_L2m[1]";3,01314141179225;0,037879164344003;0,000218695457306882;0,000218701944581769;2,93894939535987;2,98768494355202;3,01312504638234;3,03850161797975;3,08787749799458
"Mu_L2m[2]";2,96717464131573;0,0298364604114266;0,000172260884502027;0,00017262302564348;2,90887706491503;2,94697171750059;2,96707823965356;2,9871591912857;3,02637060912736
"Mu_L2m[3]";2,96094109175194;0,0274456767108681;0,000158457688371112;0,000158400132878325;2,90770479664051;2,94221640049903;2,96061782543592;2,97926934758612;3,01558372845677
"Mu_L2m[4]";3,01056482595158;0,036069311603843;0,000208246267639633;0,000206039870563186;2,93980166010275;2,9859671617232;3,01033391660971;3,03479487097091;3,08143615496539
"Mu_L2m[5]";2,89074986872585;0,0394333963098642;0,000227668819745613;0,000223606387568657;2,81395656200266;2,86418166788314;2,89059087715965;2,91731206180551;2,9683466926469
"Mu_L2m[6]";2,92283762876138;0,0333417701875322;0,000192498799930303;0,000189785913927473;2,85832127724404;2,90021698539225;2,92278251676565;2,94502558618714;2,98846260577004
"Mu_L2m[7]";2,96428219323804;0,0314501739153676;0,000181577663760981;0,000177742917863637;2,90337436057211;2,94301377695029;2,96388597777856;2,98530979054302;3,02656552647875
"Mu_L2m[8]";2,96234473258944;0,0249111647127069;0,000143824676527085;0,000144080698800242;2,91386698956594;2,94552224022093;2,96217606701016;2,97883663629656;3,01150297492417
"Mu_L2m[9]";2,97523981973675;0,0334899918716381;0,000193354558222486;0,000191486261999892;2,91023393175799;2,95264047835615;2,97483629305936;2,99785304825274;3,0410223175582
"Mu_L2m[10]";2,98576402367051;0,0325849186311856;0,000188129115432371;0,000186470948804385;2,92254425373679;2,96356037300956;2,9854792826463;3,00756702940438;3,0502786590229
"Mu_L2m[11]";2,86689860828551;0,031866713110493;0,000183982553925317;0,000183307806011708;2,80564032655413;2,84528561333031;2,86654021566684;2,88825273754796;2,93021653610326
"Mu_L2m[12]";2,74716351185799;0,0282274087917331;0,000162971020644327;0,00016024212731165;2,69294946979509;2,72797706005459;2,74675336824;2,76581066076943;2,80379218259038
"Mu_L2m[13]";2,70681097608469;0,031456174517003;0,000181612308250675;0,000182298998238736;2,64579849357876;2,68563054002411;2,70646720733928;2,72785669219162;2,76979616103577
"Mu_L2m[14]";2,8436325259099;0,0242722767099453;0,00014013605492332;0,000142021496953345;2,79676532965524;2,82713827413503;2,84341099818605;2,85977969466315;2,89195199424366
"Mu_L2m[15]";2,57665634477549;0,0261504499424666;0,000150979693137129;0,000152003499065775;2,52711547976353;2,55892627011142;2,57623897925856;2,59405626398846;2,62895555088024
"Mu_L2m[16]";2,71868040113489;0,0279466833634634;0,000161350251628528;0,000162279826745689;2,66481782342423;2,69988178841072;2,71826731573145;2,73709437118432;2,77438418483141
"Mu_L2m[17]";2,63446176097685;0,0301082882350771;0,000173830283173606;0,000173691761102854;2,57710659206635;2,6140006870979;2,63389918114435;2,65435959436432;2,69490941187615
"Mu_L2m[18]";2,57588518418585;0,0270135292204365;0,000155962683671809;0,000156661846056073;2,52438871988622;2,55748264105979;2,5755796390221;2,59366476754423;2,63065955504933
"Mu_L2m[19]";2,66058604944589;0,0261034633767471;0,000150708416073465;0,000149466092206506;2,6100824901335;2,64298817373048;2,66014712748586;2,67803720786306;2,71239284157478
"Mu_L2m[20]";2,65624309312433;0,0246659521972167;0,000142408941408815;0,000139775278550601;2,60820455232164;2,63948588327866;2,65602402788353;2,67248821618394;2,70509058516305
"Mu_L2m[21]";2,7395641183628;0,0243938737711291;0,000140838095883391;0,000142692921295044;2,69202992729314;2,72292770658816;2,73921827168781;2,75572431389329;2,78775936732163
"Mu_L2m[22]";2,75480244312603;0,0249801320262748;0,000144222859497621;0,000144051656698196;2,70613035558242;2,73781116801977;2,75458728545653;2,77135699730323;2,80502095361807
"Mu_L2m[23]";2,69919969664673;0,0297480905176689;0,000171750680682535;0,000172141074779689;2,64221358849386;2,67903598556619;2,69867814944189;2,71908155531398;2,75872104053688
"Mu_L2m[24]";2,75052104132655;0,030127484699104;0,00017394111401034;0,000173948090875514;2,69123479278988;2,73028799849241;2,75021352027909;2,7706185748563;2,8104193657334
"Mu_L2nm[1]";2,79630570805055;0,0454293468498703;0,000262286456328815;0,000264178903272217;2,70340312251158;2,76670717235195;2,79754831379817;2,82734008069746;2,88280533784293
"Mu_L2nm[2]";2,82083377423795;0,0333703572191227;0,000192663847234145;0,000190950980177261;2,75360101361865;2,7988410054082;2,82127099943624;2,84341371954976;2,88483377983161
"Mu_L2nm[3]";2,81719040119902;0,030326787685551;0,000175091790339095;0,000175363800586023;2,75555845021544;2,79699824876452;2,81783183233491;2,83790895308851;2,87433814071988
"Mu_L2nm[4]";2,81321488471167;0,0418424666905698;0,000241577594073584;0,000240741540301773;2,72926734376398;2,78520609474798;2,81413623381049;2,84197310909407;2,89328109661877
"Mu_L2nm[5]";2,68296978476178;0,0445864450552874;0,000257419960548786;0,000257427104282884;2,59200803006431;2,6535144350582;2,68391608433125;2,71365830946059;2,76722708273666
"Mu_L2nm[6]";2,74554125486044;0,0359453122536566;0,000207530357057538;0,000206441508851082;2,67293153550538;2,72200228193629;2,74625762328777;2,76998929542006;2,81370295184879
