"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Gamma1[5, 1]";0,463032873999233;0,0536408975812596;0,000309695866581134;0,000309839371788832;0,359406480156253;0,42616883037463;0,462383426466943;0,499242359845404;0,569700504721373
"Gamma1[6, 1]";0,578176806332737;0,0306376855384823;0,000176886759929899;0,000176499265184809;0,517710948858362;0,557416267965316;0,578516286354168;0,598977337549877;0,637107523892639
"Gamma1[7, 1]";0,657316122494937;0,0434570164561787;0,000250899201491528;0,000249681501762843;0,570530961292578;0,628256617984661;0,657985440847827;0,687120310728455;0,741026999613811
"Gamma1[8, 1]";0,519892193692746;0,0327500899110959;0,000189082732261556;0,000188878487915562;0,45588954991299;0,497703091734913;0,519736695694233;0,542046726412412;0,584850159794951
"Gamma1[9, 1]";0,501772605119854;0,0329665490619238;0,000190332459751547;0,0001910706299901;0,436908115070953;0,479626463908116;0,501479229698541;0,523959450536113;0,566973664365674
"Gamma1[10, 1]";0,516833561966351;0,0315602234693702;0,000182213035157256;0,000181684022106819;0,455166208031404;0,495473765306568;0,516726747338494;0,53822155616828;0,578317310190389
"Gamma1[11, 1]";0,5432053698631;0,0389671905922632;0,000224977179780066;0,0002232779153346;0,465995337384693;0,516883588095288;0,543489558265018;0,569496890910239;0,618550908173125
"Gamma1[12, 1]";0,599787676172741;0,0380383451570257;0,000219614488159367;0,000219143126099036;0,524500988713901;0,574020893132736;0,600367189160842;0,625973794043581;0,672735218916113
"Gamma1[13, 1]";0,56989852199331;0,0417322380441204;0,000240941188686584;0,000240094250990247;0,487158679910918;0,541793410304196;0,570288077373371;0,598162039497496;0,651391157497685
"Gamma1[14, 1]";0,59771728452216;0,0365377502686;0,000210950799531595;0,000210422693086922;0,525483597756428;0,573194120183365;0,597662964037797;0,622731475878326;0,668204198927982
"Gamma1[15, 1]";0,539833768417002;0,0374580869403364;0,000216264365783316;0,000219917636460142;0,466445209938989;0,51456068122533;0,540019427509497;0,565472990624774;0,612872178014141
"Gamma1[16, 1]";0,552748470002321;0,04371089278025;0,000252364957131962;0,000251903323351629;0,466310902821539;0,523308273092445;0,552882623390128;0,582335758510011;0,63782718640145
"Gamma1[17, 1]";0,579103987592117;0,0342374384682132;0,000197669943159861;0,000196499089013611;0,511580739874762;0,555909381731452;0,579489541175224;0,602268184406994;0,646262565941313
"Gamma1[18, 1]";0,562523539196546;0,0371953395437643;0,000214747392981918;0,000213422975057037;0,489754340807503;0,537476270874657;0,562498852282983;0,588014860559693;0,634343482199686
"Gamma1[19, 1]";0,570894020620988;0,0323966070331945;0,000187041897914454;0,000187054537647343;0,506835113109824;0,549354456767195;0,571165949830101;0,592841329395702;0,634028337506639
"Gamma1[20, 1]";0,551268693930947;0,0369214823865158;0,000213166277947349;0,000213166666266183;0,478305802723309;0,526472855624809;0,55122854250239;0,576601053887357;0,622461982127873
"Gamma1[21, 1]";0,537537463348885;0,0377122829796979;0,000217731967300839;0,000216907028888551;0,463874204661541;0,512038388026008;0,537394251607235;0,563185928280571;0,610872692350634
"Gamma1[22, 1]";0,460676913203385;0,0499806393192474;0,000288563355652371;0,000287269818858095;0,36306029765329;0,426704392857306;0,460194450292007;0,494479709059523;0,559577683627668
