"";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018";"X2019"
"42";NA;2,70780988;2,928779151;NA;NA;2,576726414;2,8715507;2,969603651;NA;NA;3,02096472;2,513057302;2,471859641;2,84820476;2,213437952;2,535369155;NA;2,363247627;2,752752783;2,656768046;2,79684369;2,558000205;2,58796214;2,265871338
"43";NA;3,071098342;2,787505314;NA;NA;2,824858819;2,662866977;2,988280404;NA;NA;NA;2,460662145;2,550509721;2,988280404;2,346618608;2,329516852;NA;2,554254963;2,014940132;2,596068601;2,526030779;2,325795208;2,374483353;2,617924075
"44";NA;2,198456984;2,516692402;NA;NA;NA;2,322049966;3,034972285;NA;NA;NA;2,324321019;2,670357461;2,820189631;2,159823097;2,655376494;NA;2,520547786;2,698790739;2,561745447;2,460662145;2,812676653;2,606688349;2,352011901
"45";NA;2,530699967;2,793950443;NA;NA;NA;3,022410198;2,642760482;NA;NA;NA;2,378228594;2,677847945;2,526030779;2,503043426;2,411935771;NA;2,498076335;2,606688349;2,224673677;2,787505314;2,787505314;2,311248125;NA
"46";NA;3,00742923;2,561745447;NA;NA;NA;2,6291598;3,49722191;NA;NA;NA;2,694121551;NA;2,806182066;2,322049966;2,866881512;NA;2,561745447;3,044881649;2,759490185;2,866881512;2,974272839;NA;NA
"47";NA;2,659121736;2,838893346;NA;NA;NA;2,287902184;2,983611215;NA;NA;NA;2,340776176;NA;2,974272839;2,119806905;2,399962699;NA;2,008051744;2,273361822;2,329924877;3,193724681;2,563384284;NA;NA
"48";NA;2,359502385;2,554254963;NA;NA;NA;2,213195174;2,652098858;NA;NA;NA;2,759490185;NA;2,904235017;1,962506746;2,38946432;NA;2,318304724;2,670357461;3,062987414;2,464115321;2,56923593;NA;NA
"49";NA;2,445868296;3,277770068;NA;NA;NA;2,498076335;2,694121551;NA;NA;NA;2,427977828;NA;2,688104152;2,202202226;2,153514082;NA;2,52803827;2,148148378;2,913798183;2,315917313;2,659121736;NA;NA
"50";NA;NA;2,838893346;NA;NA;NA;2,526030779;2,988280404;NA;NA;NA;2,843535571;NA;2,958741086;2,531783512;2,453133432;NA;2,6291598;NA;2,652098858;2,558715096;2,524293028;NA;NA
"51";NA;NA;2,853874313;NA;NA;NA;2,704064638;2,558000205;NA;NA;NA;2,301909748;NA;3,089824552;NA;NA;NA;2,79684369;NA;2,99761878;2,554045907;2,880889077;NA;NA
