index;stage;cohort;sexe;age;migration;end1sum
486;Smolt;1997;NA;Other;NA;NA
487;Smolt;1997;NA;Other;NA;NA
488;Smolt;1997;NA;Other;NA;NA
489;Smolt;1997;NA;Other;NA;NA
490;Smolt;1997;NA;Other;NA;NA
491;Smolt;1997;NA;Other;NA;NA
492;Smolt;1997;NA;Other;NA;NA
493;Smolt;1997;NA;Other;NA;NA
494;Smolt;1997;NA;Other;NA;NA
495;Smolt;1997;NA;Other;NA;NA
496;Smolt;1997;NA;Other;NA;NA
497;Smolt;1997;NA;Other;NA;NA
498;Smolt;1997;NA;Other;NA;NA
499;Smolt;1997;NA;Other;NA;NA
500;Smolt;1997;NA;Other;NA;NA
501;Smolt;1997;NA;Other;NA;NA
502;Smolt;1997;NA;Other;NA;NA
503;Smolt;1997;NA;Other;NA;NA
504;Smolt;1997;NA;Other;NA;NA
505;Smolt;1997;NA;Other;NA;NA
506;Smolt;1997;NA;Other;NA;NA
507;Smolt;1997;NA;Other;NA;NA
508;Smolt;1997;NA;Other;NA;NA
509;Smolt;1997;NA;Other;NA;NA
510;Smolt;1997;NA;Other;NA;NA
511;Smolt;1997;NA;Other;NA;NA
512;Smolt;1997;NA;Other;NA;NA
513;Smolt;1997;NA;Other;NA;NA
514;Smolt;1997;NA;Other;NA;NA
515;Smolt;1997;NA;Other;NA;NA
516;Smolt;1997;NA;Other;NA;NA
517;Smolt;1997;NA;Other;NA;NA
518;Smolt;1997;NA;Other;NA;NA
519;Smolt;1997;NA;Other;NA;NA
520;Smolt;1997;NA;Other;NA;NA
521;Smolt;1997;NA;Other;NA;NA
522;Smolt;1997;NA;Other;NA;NA
523;Smolt;1997;NA;Other;NA;NA
524;Smolt;1997;NA;Other;NA;NA
525;Smolt;1997;NA;Other;NA;NA
526;Smolt;1997;NA;Other;NA;NA
527;Smolt;1997;NA;1FW;NA;NA
528;Smolt;1997;NA;1FW;NA;NA
529;Smolt;1997;NA;1FW;NA;NA
530;Smolt;1997;NA;1FW;NA;NA
531;Smolt;1997;NA;1FW;NA;NA
